"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0lwkTJnLBVWvEnxtku7Msy","Alright","spotify:artist:4xRYI6VqpkE3UwrDrAZL8L, spotify:artist:0c173mlxpT3dSFRgMO8XPh","Logic, Big Sean","spotify:album:1Mk7Lei0Ra3hawezqmad5V","Under Pressure (Deluxe)","spotify:artist:4xRYI6VqpkE3UwrDrAZL8L","Logic","2014-10-21","https://i.scdn.co/image/ab67616d0000b273a4c35326f6fe6676c10e31ac","1","15","218280","https://p.scdn.co/mp3-preview/dc8915622d3e80b2323cd8711490e934903c1cf7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","USUM71414238","spotify:user:1257158050","2017-09-26T00:46:24Z"
"spotify:track:3Z2sglqDj1rDRMF5x0Sz2R","3005","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:0zi2TaQkYxfXIBvl2yTjQJ","Because The Internet","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","2013-01-01","https://i.scdn.co/image/ab67616d0000b27354ce59f0a3c40d1942f6e86a","1","9","234213","","true","0","USYAH1300213","spotify:user:1257158050","2017-09-26T00:46:43Z"
"spotify:track:2rmq49FcJ4U3wh1Z7C9UxE","IV. Sweatpants","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:0zi2TaQkYxfXIBvl2yTjQJ","Because The Internet","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","2013-01-01","https://i.scdn.co/image/ab67616d0000b27354ce59f0a3c40d1942f6e86a","1","8","180680","","true","0","USYAH1300223","spotify:user:1257158050","2017-09-26T00:46:47Z"
"spotify:track:4zGvb8hxGLB2jEPRFiRRqw","Bonfire","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:4q5E2s5u5X5HT4UMJpbMKE","Camp","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","2011-01-01","https://i.scdn.co/image/ab67616d0000b273b6ca9e25f5e21ee80af66d07","1","3","192946","","true","0","USYAH1100339","spotify:user:1257158050","2017-09-26T00:46:54Z"
"spotify:track:3HooZZPp0evFShqaJ2Pwer","Heartbeat","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:4q5E2s5u5X5HT4UMJpbMKE","Camp","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","2011-01-01","https://i.scdn.co/image/ab67616d0000b273b6ca9e25f5e21ee80af66d07","1","6","269840","","true","0","USYAH1100351","spotify:user:1257158050","2017-09-26T00:47:07Z"
"spotify:track:0RC6NdZjgVuwbvDuCs70NJ","God Bless Amerika","spotify:artist:55Aa2cqylxrFIXC767Z865","Lil Wayne","spotify:album:4rhNBjL39LW5tuZgRShtnx","I Am Not A Human Being II (Deluxe)","spotify:artist:55Aa2cqylxrFIXC767Z865","Lil Wayne","2013-01-01","https://i.scdn.co/image/ab67616d0000b273e1a81870181de556d515d4cc","1","12","302986","","true","0","USCM51300108","spotify:user:1257158050","2017-09-27T02:37:19Z"
"spotify:track:3Z4iF2sFcW63WclmUYd7IE","Drinks On Us","spotify:artist:0NWbwDZY1VkRqFafuQm6wk, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:1zNqQNIdeOUZHb8zbZRFMX, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Mike WiLL Made-It, The Weeknd, Swae Lee, Future","spotify:album:2JfXJhfB5nIxwk4AJNNimU","Drinks On Us","spotify:artist:0NWbwDZY1VkRqFafuQm6wk","Mike WiLL Made-It","2015-03-06","https://i.scdn.co/image/ab67616d0000b273a4f3588a07ed8b40eebe8624","1","1","311163","https://p.scdn.co/mp3-preview/4cf853ba306c58a04da2ed74a780320e4df809f7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","USUM71501876","spotify:user:1257158050","2017-09-29T14:59:58Z"
"spotify:track:1jZi8HvWkfWIQcmlxmqber","No New Friends - SFTB Remix","spotify:artist:0QHgL1lAIqAw0HtD7YldmP, spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:1sBkRIssrMs1AbVkOJbc7a, spotify:artist:55Aa2cqylxrFIXC767Z865","DJ Khaled, Drake, Rick Ross, Lil Wayne","spotify:album:0miqsmiM9kOTvkAwgvrFV8","No New Friends (SFTB Remix)","spotify:artist:0QHgL1lAIqAw0HtD7YldmP","DJ Khaled","2013-01-01","https://i.scdn.co/image/ab67616d0000b27350f6563b618a93148050f72f","1","1","307466","https://p.scdn.co/mp3-preview/60667dd19d2e3d440ba172f01481841aab2cca2d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","USCM51300393","spotify:user:1257158050","2017-10-08T23:44:51Z"
"spotify:track:5cS9jJbwirKrdDIbbAExUz","About the Money (feat. Young Thug)","spotify:artist:4OBJLual30L7gRl5UkeRcT, spotify:artist:50co4Is1HCEo8bhOyUWKpn","T.I., Young Thug","spotify:album:5S39sWIHkhd8jxdUelQxXF","Paperwork (Deluxe Clean)","spotify:artist:4OBJLual30L7gRl5UkeRcT","T.I.","2014-10-20","https://i.scdn.co/image/ab67616d0000b2730547d76347190f6b547d8feb","1","3","269640","https://p.scdn.co/mp3-preview/13bc27d5c304adbaacae09cbe19b930ddc918ae9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USQX91401204","spotify:user:1257158050","2017-10-08T23:45:51Z"
"spotify:track:39hnH8WdPmNT3Q3yzwC9Rg","Why You Always Hatin?","spotify:artist:0A0FS04o6zMoto8OKPsDwY, spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:3XVpDdKav6C6zwlDXPhMEO","YG, Drake, Kamaiyah","spotify:album:4nwd6ernojhNIIRifDJoRz","Still Brazy (Deluxe)","spotify:artist:0A0FS04o6zMoto8OKPsDwY","YG","2016-06-17","https://i.scdn.co/image/ab67616d0000b273e2accda06ebadfe3014c161b","1","9","196600","","true","0","USUM71604265","spotify:user:1257158050","2017-10-08T23:46:22Z"
