"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1aGvLFHJ2shKqO9uycaUcW","Something Good Can Work","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:0gyRFAfY08NFv7N8RTFg9M","Tourist History","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-02-07","https://i.scdn.co/image/ab67616d0000b273cba7eaf46111c54eaf2faeb9","1","6","164186","","false","0","FRU700900101","spotify:user:olivia.28","2019-01-09T17:01:25Z"
"spotify:track:5JtPGzRgrWxkXX9LoROq3d","1901","spotify:artist:1xU878Z1QtBldR7ru9owdU","Phoenix","spotify:album:6YXmQrXOjJoMheJ2IA5NqK","Wolfgang Amadeus Phoenix","spotify:artist:1xU878Z1QtBldR7ru9owdU","Phoenix","2009-01-01","https://i.scdn.co/image/ab67616d0000b2732734934f36a17722c5faa058","1","2","193106","","false","0","FR31Q0900002","spotify:user:olivia.28","2019-01-09T17:01:36Z"
"spotify:track:1eyzqe2QqGZUmfcPZtrIyt","Midnight City","spotify:artist:63MQldklfxkjYDoUE4Tppz","M83","spotify:album:6R0ynY7RF20ofs9GJR5TXR","Hurry Up, We're Dreaming","spotify:artist:63MQldklfxkjYDoUE4Tppz","M83","2011","https://i.scdn.co/image/ab67616d0000b273fff2cb485c36a6d8f639bdba","1","2","241440","https://p.scdn.co/mp3-preview/5aa3429867af2283925c942e7051342a464460b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","GB55H1100002","spotify:user:olivia.28","2019-01-09T17:05:19Z"
"spotify:track:3e0yTP5trHBBVvV32jwXqF","Anna Sun","spotify:artist:6DIS6PRrLS3wbnZsf7vYic","WALK THE MOON","spotify:album:1QhonXpNQq8wrGEKX0ofbk","Walk The Moon","spotify:artist:6DIS6PRrLS3wbnZsf7vYic","WALK THE MOON","2012-06-19","https://i.scdn.co/image/ab67616d0000b2737f768e99c363b6ee0995556e","1","4","321280","https://p.scdn.co/mp3-preview/89721449430314e2e1abb6f432c7ec414096deef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USRC11200002","spotify:user:olivia.28","2019-01-09T17:11:52Z"
"spotify:track:1YLJVmuzeM2YSUkCCaTNUB","Dog Days Are Over","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","spotify:album:2FgknX5e7fJlriQtxvpLhZ","Lungs (Deluxe Edition)","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","2009","https://i.scdn.co/image/ab67616d0000b2730672b0f8756ae2af86e8a5ce","1","1","251840","https://p.scdn.co/mp3-preview/d1c97f83c052039d9e5105ed70261a5c59fd7f53?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","GBUM70900209","spotify:user:olivia.28","2019-01-09T17:12:41Z"
"spotify:track:2tznHmp70DxMyr2XhWLOW0","Cigarette Daydreams","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","spotify:album:4EK8gtQfdVsmDTji7gBFlz","Melophobia","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","2013-10-08","https://i.scdn.co/image/ab67616d0000b273fb1cb900d28642e668d77b12","1","10","208760","https://p.scdn.co/mp3-preview/a7a72315d777f4ed078d955238f9db158c915fc1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USRC11301169","spotify:user:olivia.28","2019-01-30T21:12:07Z"
"spotify:track:1mea3bSkSGXuIRvnydlB5b","Viva La Vida","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:1CEODgTmTwLyabvwd7HBty","Viva La Vida or Death and All His Friends","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2008-05-26","https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e","1","7","242373","https://p.scdn.co/mp3-preview/fb9f4a9b0887326776b4fb7c6d331acd167a7778?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","GBAYE0800265","spotify:user:olivia.28","2019-01-23T05:52:25Z"
"spotify:track:0iTpQYzJnYgh7kIxyq8A2O","Two Weeks","spotify:artist:2Jv5eshHtLycR6R8KQCdc4","Grizzly Bear","spotify:album:6FIFqclBriPCb0SjWDaHIk","Veckatimest","spotify:artist:2Jv5eshHtLycR6R8KQCdc4","Grizzly Bear","2009-05-24","https://i.scdn.co/image/ab67616d0000b273f5819f138439b3ac881a2a6b","1","2","243160","","false","38","GBBPW0900065","spotify:user:olivia.28","2019-01-30T21:07:26Z"
"spotify:track:5nHRIKsXDwUpse9gzrAxLR","Oxford Comma","spotify:artist:5BvJzeQpmsdsFp4HGUYUEx","Vampire Weekend","spotify:album:5oXBmKbyJeQftWMo87cQ9F","Vampire Weekend","spotify:artist:5BvJzeQpmsdsFp4HGUYUEx","Vampire Weekend","2008-01-27","https://i.scdn.co/image/ab67616d0000b27301e2ebfbf4f8147621c8a866","1","2","195733","","true","0","GBBKS0700526","spotify:user:olivia.28","2019-01-30T21:07:36Z"
"spotify:track:6IIjmqaDdO6vdEBasXsCve","Sweet Disposition","spotify:artist:4W48hZAnAHVOC2c8WH8pcq","The Temper Trap","spotify:album:0LiajiUXzLDuQ21geqi4v4","Sweet Disposition","spotify:artist:4W48hZAnAHVOC2c8WH8pcq","The Temper Trap","2009-08-02","https://i.scdn.co/image/ab67616d0000b2739d20b50e52fc0972dafdc39e","1","1","234680","","false","0","GBZUZ0900013","spotify:user:olivia.28","2019-01-30T21:07:42Z"
